ProcessInstance__@id,ProcessInstance__AuditTrailEntry__WorkflowModelElement,ProcessInstance__AuditTrailEntry__Timestamp
230.0,Start,2023-12-22T09:49:03.262+00:00
230.0,Define_Data_Object,2024-07-12T09:57:39.153+00:00
230.0,Request_Data_Object,2024-07-12T09:57:39.153+00:00
230.0,Start_Event,2024-07-12T09:57:39.153+00:00
230.0,Define_pipeline_and_deployment_configuration,2025-08-18T10:42:29.017+00:00
230.0,send_deployment_configuration,2025-08-18T10:42:29.017+00:00
230.0,deployment_configuration_received,2025-08-18T10:42:29.017+00:00
230.0,accepted,2025-08-18T10:42:29.017+00:00
230.0,accept,2025-08-18T10:42:29.017+00:00
230.0,execute_capabilities,2026-09-04T15:58:33.564+00:00
230.0,terminate_exchange,2026-09-04T15:58:33.564+00:00
240.0,Start,2023-12-22T10:04:28.527+00:00
240.0,Define_Data_Object,2024-09-25T14:25:41.805+00:00
240.0,Request_Data_Object,2024-09-25T14:25:41.805+00:00
240.0,Start_Event,2024-09-25T14:25:41.805+00:00
240.0,Define_pipeline_and_deployment_configuration,2025-11-04T12:58:34.041+00:00
240.0,send_deployment_configuration,2025-11-04T12:58:34.041+00:00
240.0,deployment_configuration_received,2025-11-04T12:58:34.041+00:00
240.0,revised,2025-11-04T12:58:34.041+00:00
240.0,revise,2025-11-04T12:58:34.041+00:00
240.0,Define_pipeline_and_deployment_configuration,2026-10-30T10:55:12.591+00:00
240.0,send_deployment_configuration,2026-10-30T10:55:12.591+00:00
241.0,Start,2023-12-22T10:07:37.403+00:00
241.0,Define_Data_Object,2024-09-30T14:25:59.385+00:00
241.0,Request_Data_Object,2024-09-30T14:25:59.385+00:00
241.0,Start_Event,2024-09-30T14:25:59.385+00:00
241.0,Define_pipeline_and_deployment_configuration,2025-11-13T16:53:36.088+00:00
241.0,send_deployment_configuration,2025-11-13T16:53:36.088+00:00
241.0,deployment_configuration_received,2025-11-13T16:53:36.088+00:00
241.0,accepted,2025-11-13T16:53:36.088+00:00
241.0,accept,2025-11-13T16:53:36.088+00:00
241.0,implement_capabilities,2026-11-10T13:11:28.040+00:00
241.0,End Event_336,2026-11-10T13:11:28.040+00:00
203.0,Start,2023-12-22T09:02:35.932+00:00
203.0,Define_Data_Object,2024-01-22T16:07:45.089+00:00
203.0,Request_Data_Object,2024-01-22T16:07:45.089+00:00
203.0,Start_Event,2024-01-22T16:07:45.089+00:00
203.0,Define_pipeline_and_deployment_configuration,2024-12-18T11:40:49.631+00:00
203.0,send_deployment_configuration,2024-12-18T11:40:49.631+00:00
203.0,deployment_configuration_received,2024-12-18T11:40:49.631+00:00
203.0,accepted,2024-12-18T11:40:49.631+00:00
203.0,accept,2024-12-18T11:40:49.631+00:00
203.0,implement_capabilities,2026-03-17T15:54:46.541+00:00
203.0,execute_capabilities,2026-11-26T14:10:21.034+00:00
203.0,terminate_exchange,2026-11-26T14:10:21.034+00:00
204.0,Start,2023-12-22T09:03:30.317+00:00
204.0,Define_Data_Object,2024-02-01T16:58:51.440+00:00
204.0,Request_Data_Object,2024-02-01T16:58:51.440+00:00
204.0,Start_Event,2024-02-01T16:58:51.440+00:00
204.0,Define_pipeline_and_deployment_configuration,2024-12-24T13:41:05.589+00:00
204.0,send_deployment_configuration,2024-12-24T13:41:05.589+00:00
204.0,deployment_configuration_received,2024-12-24T13:41:05.589+00:00
204.0,revised,2024-12-24T13:41:05.589+00:00
204.0,revise,2024-12-24T13:41:05.589+00:00
204.0,Define_pipeline_and_deployment_configuration,2026-04-01T14:42:31.837+00:00
204.0,send_deployment_configuration,2026-04-01T14:42:31.837+00:00
205.0,Start,2023-12-22T09:06:13.596+00:00
205.0,Define_Data_Object,2024-02-14T14:06:39.882+00:00
205.0,Request_Data_Object,2024-02-14T14:06:39.882+00:00
205.0,Start_Event,2024-02-14T14:06:39.882+00:00
205.0,revise_exchange,2024-02-14T14:06:39.882+00:00
205.0,data_object_revised,2024-02-14T14:06:39.882+00:00
205.0,Define_Data_Object,2024-12-25T09:25:12.740+00:00
205.0,Request_Data_Object,2024-12-25T09:25:12.740+00:00
205.0,Start_Event,2024-12-25T09:25:12.740+00:00
205.0,Define_pipeline_and_deployment_configuration,2026-04-09T09:04:31.666+00:00
205.0,send_deployment_configuration,2026-04-09T09:04:31.666+00:00
205.0,deployment_configuration_received,2026-04-09T09:04:31.666+00:00
205.0,accepted,2026-04-09T09:04:31.666+00:00
205.0,accept,2026-04-09T09:04:31.666+00:00
205.0,execute_capabilities,2026-11-26T16:10:09.831+00:00
205.0,terminate_exchange,2026-11-26T16:10:09.831+00:00
214.0,Start,2023-12-22T09:18:27.319+00:00
214.0,Define_Data_Object,2024-03-22T13:12:43.667+00:00
214.0,Request_Data_Object,2024-03-22T13:12:43.667+00:00
214.0,Start_Event,2024-03-22T13:12:43.667+00:00
214.0,Define_pipeline_and_deployment_configuration,2025-03-06T14:32:31.304+00:00
214.0,send_deployment_configuration,2025-03-06T14:32:31.304+00:00
214.0,deployment_configuration_received,2025-03-06T14:32:31.304+00:00
214.0,accepted,2025-03-06T14:32:31.304+00:00
214.0,accept,2025-03-06T14:32:31.304+00:00
214.0,implement_capabilities,2026-05-18T13:23:04.571+00:00
214.0,execute_capabilities,2026-11-30T11:06:39.801+00:00
214.0,terminate_exchange,2026-11-30T11:06:39.801+00:00
225.0,Start,2023-12-22T09:44:47.349+00:00
225.0,Define_Data_Object,2024-06-11T13:21:55.549+00:00
225.0,Request_Data_Object,2024-06-11T13:21:55.549+00:00
225.0,Start_Event,2024-06-11T13:21:55.549+00:00
225.0,Define_pipeline_and_deployment_configuration,2025-07-07T09:02:00.070+00:00
225.0,send_deployment_configuration,2025-07-07T09:02:00.070+00:00
225.0,deployment_configuration_received,2025-07-07T09:02:00.070+00:00
225.0,accepted,2025-07-07T09:02:00.070+00:00
225.0,accept,2025-07-07T09:02:00.070+00:00
225.0,implement_capabilities,2026-08-11T13:23:33.315+00:00
225.0,End Event_336,2026-08-11T13:23:33.315+00:00
236.0,Start,2023-12-22T09:55:48.536+00:00
236.0,Define_Data_Object,2024-08-20T15:35:20.225+00:00
236.0,Request_Data_Object,2024-08-20T15:35:20.225+00:00
236.0,Start_Event,2024-08-20T15:35:20.225+00:00
236.0,Define_pipeline_and_deployment_configuration,2025-10-07T14:13:24.573+00:00
236.0,send_deployment_configuration,2025-10-07T14:13:24.573+00:00
236.0,deployment_configuration_received,2025-10-07T14:13:24.573+00:00
236.0,accepted,2025-10-07T14:13:24.573+00:00
236.0,accept,2025-10-07T14:13:24.573+00:00
236.0,implement_capabilities,2026-10-09T09:08:57.097+00:00
236.0,execute_capabilities,2026-12-15T11:38:22.110+00:00
236.0,terminate_exchange,2026-12-15T11:38:22.110+00:00
247.0,Start,2023-12-22T10:13:47.453+00:00
247.0,Define_Data_Object,2024-11-06T09:55:57.831+00:00
247.0,Request_Data_Object,2024-11-06T09:55:57.831+00:00
247.0,Start_Event,2024-11-06T09:55:57.831+00:00
247.0,Define_pipeline_and_deployment_configuration,2026-01-22T13:57:15.315+00:00
247.0,send_deployment_configuration,2026-01-22T13:57:15.315+00:00
247.0,deployment_configuration_received,2026-01-22T13:57:15.315+00:00
247.0,accepted,2026-01-22T13:57:15.315+00:00
247.0,accept,2026-01-22T13:57:15.315+00:00
247.0,implement_capabilities,2026-11-25T10:15:03.255+00:00
247.0,execute_capabilities,2026-12-15T15:09:08.840+00:00
247.0,terminate_exchange,2026-12-15T15:09:08.840+00:00
237.0,Start,2023-12-22T10:00:21.027+00:00
237.0,Define_Data_Object,2024-09-02T09:52:27.020+00:00
237.0,Request_Data_Object,2024-09-02T09:52:27.020+00:00
237.0,Start_Event,2024-09-02T09:52:27.020+00:00
237.0,decline_exchange,2024-09-02T09:52:27.020+00:00
237.0,data_object_declined,2024-09-02T09:52:27.020+00:00
237.0,decline_data_object,2024-09-02T09:52:27.020+00:00
215.0,Start,2023-12-22T09:23:43.776+00:00
215.0,Define_Data_Object,2024-04-04T11:03:04.366+00:00
215.0,Request_Data_Object,2024-04-04T11:03:04.366+00:00
215.0,Start_Event,2024-04-04T11:03:04.366+00:00
215.0,Define_pipeline_and_deployment_configuration,2025-03-27T09:35:28.183+00:00
215.0,send_deployment_configuration,2025-03-27T09:35:28.183+00:00
215.0,deployment_configuration_received,2025-03-27T09:35:28.183+00:00
215.0,accepted,2025-03-27T09:35:28.183+00:00
215.0,accept,2025-03-27T09:35:28.183+00:00
215.0,execute_capabilities,2026-05-18T15:13:56.891+00:00
215.0,terminate_exchange,2026-05-18T15:13:56.891+00:00
226.0,Start,2023-12-22T09:46:21.716+00:00
226.0,Define_Data_Object,2024-06-24T11:38:06.504+00:00
226.0,Request_Data_Object,2024-06-24T11:38:06.504+00:00
226.0,Start_Event,2024-06-24T11:38:06.504+00:00
226.0,Define_pipeline_and_deployment_configuration,2025-07-11T10:33:31.973+00:00
226.0,send_deployment_configuration,2025-07-11T10:33:31.973+00:00
226.0,deployment_configuration_received,2025-07-11T10:33:31.973+00:00
226.0,declined,2025-07-11T10:33:31.973+00:00
226.0,decline,2025-07-11T10:33:31.973+00:00
226.0,decline_pipeline,2025-07-11T10:33:31.973+00:00
238.0,Start,2023-12-22T10:00:54.140+00:00
238.0,Define_Data_Object,2024-09-11T13:52:22.774+00:00
238.0,Request_Data_Object,2024-09-11T13:52:22.774+00:00
238.0,Start_Event,2024-09-11T13:52:22.774+00:00
238.0,Define_pipeline_and_deployment_configuration,2025-10-14T09:50:16.050+00:00
238.0,send_deployment_configuration,2025-10-14T09:50:16.050+00:00
238.0,deployment_configuration_received,2025-10-14T09:50:16.050+00:00
238.0,accepted,2025-10-14T09:50:16.050+00:00
238.0,accept,2025-10-14T09:50:16.050+00:00
238.0,execute_capabilities,2026-10-09T10:39:27.325+00:00
238.0,terminate_exchange,2026-10-09T10:39:27.325+00:00
248.0,Start,2023-12-22T10:13:57.167+00:00
248.0,Define_Data_Object,2024-11-18T10:46:57.614+00:00
248.0,Request_Data_Object,2024-11-18T10:46:57.614+00:00
248.0,Start_Event,2024-11-18T10:46:57.614+00:00
248.0,Define_pipeline_and_deployment_configuration,2026-02-12T13:48:31.093+00:00
248.0,send_deployment_configuration,2026-02-12T13:48:31.093+00:00
248.0,deployment_configuration_received,2026-02-12T13:48:31.093+00:00
248.0,accepted,2026-02-12T13:48:31.093+00:00
248.0,accept,2026-02-12T13:48:31.093+00:00
248.0,execute_capabilities,2026-11-25T13:38:06.946+00:00
248.0,terminate_exchange,2026-11-25T13:38:06.946+00:00
216.0,Start,2023-12-22T09:26:02.874+00:00
216.0,Define_Data_Object,2024-04-08T08:38:48.959+00:00
216.0,Request_Data_Object,2024-04-08T08:38:48.959+00:00
216.0,Start_Event,2024-04-08T08:38:48.959+00:00
216.0,decline_exchange,2024-04-08T08:38:48.959+00:00
216.0,data_object_declined,2024-04-08T08:38:48.959+00:00
216.0,decline_data_object,2024-04-08T08:38:48.959+00:00
227.0,Start,2023-12-22T09:46:23.465+00:00
227.0,Define_Data_Object,2024-06-24T12:10:24.797+00:00
227.0,Request_Data_Object,2024-06-24T12:10:24.797+00:00
227.0,Start_Event,2024-06-24T12:10:24.797+00:00
227.0,Define_pipeline_and_deployment_configuration,2025-07-24T10:46:33.409+00:00
227.0,send_deployment_configuration,2025-07-24T10:46:33.409+00:00
227.0,deployment_configuration_received,2025-07-24T10:46:33.409+00:00
227.0,declined,2025-07-24T10:46:33.409+00:00
227.0,decline,2025-07-24T10:46:33.409+00:00
227.0,decline_pipeline,2025-07-24T10:46:33.409+00:00
229.0,Start,2023-12-22T09:47:26.423+00:00
229.0,Define_Data_Object,2024-07-11T09:55:55.115+00:00
229.0,Request_Data_Object,2024-07-11T09:55:55.115+00:00
229.0,Start_Event,2024-07-11T09:55:55.115+00:00
229.0,Define_pipeline_and_deployment_configuration,2025-08-12T14:37:01.658+00:00
229.0,send_deployment_configuration,2025-08-12T14:37:01.658+00:00
229.0,deployment_configuration_received,2025-08-12T14:37:01.658+00:00
229.0,accepted,2025-08-12T14:37:01.658+00:00
229.0,accept,2025-08-12T14:37:01.658+00:00
229.0,implement_capabilities,2026-09-04T14:06:37.601+00:00
229.0,execute_capabilities,2026-12-14T12:26:14.383+00:00
229.0,terminate_exchange,2026-12-14T12:26:14.383+00:00
202.0,Start,2023-12-22T09:00:50.320+00:00
202.0,Define_Data_Object,2024-01-10T10:16:52.328+00:00
202.0,Request_Data_Object,2024-01-10T10:16:52.328+00:00
202.0,Start_Event,2024-01-10T10:16:52.328+00:00
202.0,Define_pipeline_and_deployment_configuration,2024-12-13T09:15:08.196+00:00
202.0,send_deployment_configuration,2024-12-13T09:15:08.196+00:00
202.0,deployment_configuration_received,2024-12-13T09:15:08.196+00:00
202.0,accepted,2024-12-13T09:15:08.196+00:00
202.0,accept,2024-12-13T09:15:08.196+00:00
202.0,implement_capabilities,2026-03-05T15:39:02.091+00:00
202.0,execute_capabilities,2026-11-26T11:41:43.569+00:00
202.0,terminate_exchange,2026-11-26T11:41:43.569+00:00
239.0,Start,2023-12-22T10:01:32.925+00:00
239.0,Define_Data_Object,2024-09-13T15:22:27.083+00:00
239.0,Request_Data_Object,2024-09-13T15:22:27.083+00:00
239.0,Start_Event,2024-09-13T15:22:27.083+00:00
239.0,Define_pipeline_and_deployment_configuration,2025-10-23T14:24:50.264+00:00
239.0,send_deployment_configuration,2025-10-23T14:24:50.264+00:00
239.0,deployment_configuration_received,2025-10-23T14:24:50.264+00:00
239.0,accepted,2025-10-23T14:24:50.264+00:00
239.0,accept,2025-10-23T14:24:50.264+00:00
239.0,implement_capabilities,2026-10-19T15:29:57.843+00:00
239.0,execute_capabilities,2026-12-15T12:44:52.045+00:00
239.0,terminate_exchange,2026-12-15T12:44:52.045+00:00
217.0,Start,2023-12-22T09:27:28.969+00:00
217.0,Define_Data_Object,2024-04-18T08:08:14.713+00:00
217.0,Request_Data_Object,2024-04-18T08:08:14.713+00:00
217.0,Start_Event,2024-04-18T08:08:14.713+00:00
217.0,revise_exchange,2024-04-18T08:08:14.713+00:00
217.0,data_object_revised,2024-04-18T08:08:14.713+00:00
217.0,Define_Data_Object,2025-04-04T10:02:50.802+00:00
217.0,Request_Data_Object,2025-04-04T10:02:50.802+00:00
217.0,Start_Event,2025-04-04T10:02:50.802+00:00
217.0,Define_pipeline_and_deployment_configuration,2026-05-28T15:20:16.213+00:00
217.0,send_deployment_configuration,2026-05-28T15:20:16.213+00:00
217.0,deployment_configuration_received,2026-05-28T15:20:16.213+00:00
217.0,accepted,2026-05-28T15:20:16.213+00:00
217.0,accept,2026-05-28T15:20:16.213+00:00
217.0,implement_capabilities,2026-12-11T12:03:57.502+00:00
217.0,execute_capabilities,2026-12-16T10:59:47.123+00:00
217.0,terminate_exchange,2026-12-16T10:59:47.123+00:00
219.0,Start,2023-12-22T09:33:15.373+00:00
219.0,Define_Data_Object,2024-04-29T15:02:08.357+00:00
219.0,Request_Data_Object,2024-04-29T15:02:08.357+00:00
219.0,Start_Event,2024-04-29T15:02:08.357+00:00
219.0,Define_pipeline_and_deployment_configuration,2025-04-23T12:01:45.428+00:00
219.0,send_deployment_configuration,2025-04-23T12:01:45.428+00:00
219.0,deployment_configuration_received,2025-04-23T12:01:45.428+00:00
219.0,accepted,2025-04-23T12:01:45.428+00:00
219.0,accept,2025-04-23T12:01:45.428+00:00
219.0,implement_capabilities,2026-06-12T08:05:53.679+00:00
219.0,End Event_336,2026-06-12T08:05:53.679+00:00
228.0,Start,2023-12-22T09:47:07.814+00:00
228.0,Define_Data_Object,2024-07-02T13:31:45.891+00:00
228.0,Request_Data_Object,2024-07-02T13:31:45.891+00:00
228.0,Start_Event,2024-07-02T13:31:45.891+00:00
228.0,Define_pipeline_and_deployment_configuration,2025-08-07T09:41:45.074+00:00
228.0,send_deployment_configuration,2025-08-07T09:41:45.074+00:00
228.0,deployment_configuration_received,2025-08-07T09:41:45.074+00:00
228.0,accepted,2025-08-07T09:41:45.074+00:00
228.0,accept,2025-08-07T09:41:45.074+00:00
228.0,implement_capabilities,2026-08-27T09:49:10.004+00:00
228.0,execute_capabilities,2026-12-14T10:27:18.917+00:00
228.0,terminate_exchange,2026-12-14T10:27:18.917+00:00
201.0,Start,2023-12-22T09:00:11.660+00:00
201.0,Define_Data_Object,2024-01-01T09:28:32.784+00:00
201.0,Request_Data_Object,2024-01-01T09:28:32.784+00:00
201.0,Start_Event,2024-01-01T09:28:32.784+00:00
201.0,Define_pipeline_and_deployment_configuration,2024-12-04T13:37:08.139+00:00
201.0,send_deployment_configuration,2024-12-04T13:37:08.139+00:00
201.0,deployment_configuration_received,2024-12-04T13:37:08.139+00:00
201.0,accepted,2024-12-04T13:37:08.139+00:00
201.0,accept,2024-12-04T13:37:08.139+00:00
201.0,implement_capabilities,2026-02-25T10:03:14.714+00:00
201.0,execute_capabilities,2026-11-25T16:35:11.396+00:00
201.0,terminate_exchange,2026-11-25T16:35:11.396+00:00
218.0,Start,2023-12-22T09:29:59.781+00:00
218.0,Define_Data_Object,2024-04-29T13:29:02.825+00:00
218.0,Request_Data_Object,2024-04-29T13:29:02.825+00:00
218.0,Start_Event,2024-04-29T13:29:02.825+00:00
218.0,Define_pipeline_and_deployment_configuration,2025-04-11T08:15:00.233+00:00
218.0,send_deployment_configuration,2025-04-11T08:15:00.233+00:00
218.0,deployment_configuration_received,2025-04-11T08:15:00.233+00:00
218.0,declined,2025-04-11T08:15:00.233+00:00
218.0,decline,2025-04-11T08:15:00.233+00:00
218.0,decline_pipeline,2025-04-11T08:15:00.233+00:00
207.0,Start,2023-12-22T09:07:34.699+00:00
207.0,Define_Data_Object,2024-02-16T15:27:19.429+00:00
207.0,Request_Data_Object,2024-02-16T15:27:19.429+00:00
207.0,Start_Event,2024-02-16T15:27:19.429+00:00
207.0,decline_exchange,2024-02-16T15:27:19.429+00:00
207.0,data_object_declined,2024-02-16T15:27:19.429+00:00
207.0,decline_data_object,2024-02-16T15:27:19.429+00:00
246.0,Start,2023-12-22T10:12:19.779+00:00
246.0,Define_Data_Object,2024-10-30T16:36:33.213+00:00
246.0,Request_Data_Object,2024-10-30T16:36:33.213+00:00
246.0,Start_Event,2024-10-30T16:36:33.213+00:00
246.0,Define_pipeline_and_deployment_configuration,2026-01-02T13:22:19.006+00:00
246.0,send_deployment_configuration,2026-01-02T13:22:19.006+00:00
246.0,deployment_configuration_received,2026-01-02T13:22:19.006+00:00
246.0,declined,2026-01-02T13:22:19.006+00:00
246.0,decline,2026-01-02T13:22:19.006+00:00
246.0,decline_pipeline,2026-01-02T13:22:19.006+00:00
