CaseId,WorkflowModelElement,Timestamp
30,Start,2023-12-22T09:44:30.209+00:00
30,Define_Data_Object,2024-07-15T10:34:02.721+00:00
30,Request_Data_Object,2024-07-15T10:34:02.721+00:00
30,Start_Event,2024-07-15T10:34:02.721+00:00
30,decline_exchange,2024-07-15T10:34:02.721+00:00
30,data_object_declined,2024-07-15T10:34:02.721+00:00
30,decline_data_object,2024-07-15T10:34:02.721+00:00
40,Start,2023-12-22T10:02:41.921+00:00
40,Define_Data_Object,2024-10-02T09:46:43.758+00:00
40,Request_Data_Object,2024-10-02T09:46:43.758+00:00
40,Start_Event,2024-10-02T09:46:43.758+00:00
40,Define_pipeline_and_deployment_configuration,2025-11-12T10:29:19.251+00:00
40,send_deployment_configuration,2025-11-12T10:29:19.251+00:00
40,deployment_configuration_received,2025-11-12T10:29:19.251+00:00
40,accepted,2025-11-12T10:29:19.251+00:00
40,accept,2025-11-12T10:29:19.251+00:00
40,implement_capabilities,2026-07-27T10:14:33.018+00:00
40,execute_capabilities,2026-09-04T10:25:42.679+00:00
40,terminate_exchange,2026-09-04T10:25:42.679+00:00
41,Start,2023-12-22T10:04:43.821+00:00
41,Define_Data_Object,2024-10-07T08:57:36.996+00:00
41,Request_Data_Object,2024-10-07T08:57:36.996+00:00
41,Start_Event,2024-10-07T08:57:36.996+00:00
41,decline_exchange,2024-10-07T08:57:36.996+00:00
41,data_object_declined,2024-10-07T08:57:36.996+00:00
41,decline_data_object,2024-10-07T08:57:36.996+00:00
3,Start,2023-12-22T09:04:36.197+00:00
3,Define_Data_Object,2024-01-24T12:49:43.562+00:00
3,Request_Data_Object,2024-01-24T12:49:43.562+00:00
3,Start_Event,2024-01-24T12:49:43.562+00:00
3,Define_pipeline_and_deployment_configuration,2024-12-13T11:36:12.822+00:00
3,send_deployment_configuration,2024-12-13T11:36:12.822+00:00
3,deployment_configuration_received,2024-12-13T11:36:12.822+00:00
3,accepted,2024-12-13T11:36:12.822+00:00
3,accept,2024-12-13T11:36:12.822+00:00
3,implement_capabilities,2026-02-03T16:08:45.079+00:00
3,execute_capabilities,2026-08-31T09:49:22.044+00:00
3,terminate_exchange,2026-08-31T09:49:22.044+00:00
4,Start,2023-12-22T09:06:49.096+00:00
4,Define_Data_Object,2024-02-02T10:51:07.037+00:00
4,Request_Data_Object,2024-02-02T10:51:07.037+00:00
4,Start_Event,2024-02-02T10:51:07.037+00:00
4,Define_pipeline_and_deployment_configuration,2025-01-02T09:07:33.468+00:00
4,send_deployment_configuration,2025-01-02T09:07:33.468+00:00
4,deployment_configuration_received,2025-01-02T09:07:33.468+00:00
4,accepted,2025-01-02T09:07:33.468+00:00
4,accept,2025-01-02T09:07:33.468+00:00
4,execute_capabilities,2026-02-04T11:40:10.401+00:00
4,terminate_exchange,2026-02-04T11:40:10.401+00:00
5,Start,2023-12-22T09:06:55.151+00:00
5,Define_Data_Object,2024-02-08T14:14:41.408+00:00
5,Request_Data_Object,2024-02-08T14:14:41.408+00:00
5,Start_Event,2024-02-08T14:14:41.408+00:00
5,Define_pipeline_and_deployment_configuration,2025-01-09T12:42:01.463+00:00
5,send_deployment_configuration,2025-01-09T12:42:01.463+00:00
5,deployment_configuration_received,2025-01-09T12:42:01.463+00:00
5,accepted,2025-01-09T12:42:01.463+00:00
5,accept,2025-01-09T12:42:01.463+00:00
5,implement_capabilities,2026-02-12T12:23:49.298+00:00
5,execute_capabilities,2026-08-31T13:33:25.008+00:00
5,terminate_exchange,2026-08-31T13:33:25.008+00:00
14,Start,2023-12-22T09:22:04.845+00:00
14,Define_Data_Object,2024-03-19T13:35:36.495+00:00
14,Request_Data_Object,2024-03-19T13:35:36.495+00:00
14,Start_Event,2024-03-19T13:35:36.495+00:00
14,Define_pipeline_and_deployment_configuration,2025-03-04T09:31:15.619+00:00
14,send_deployment_configuration,2025-03-04T09:31:15.619+00:00
14,deployment_configuration_received,2025-03-04T09:31:15.619+00:00
14,accepted,2025-03-04T09:31:15.619+00:00
14,accept,2025-03-04T09:31:15.619+00:00
14,execute_capabilities,2026-02-24T16:02:22.917+00:00
14,terminate_exchange,2026-02-24T16:02:22.917+00:00
25,Start,2023-12-22T09:38:00.837+00:00
25,Define_Data_Object,2024-05-29T09:14:36.520+00:00
25,Request_Data_Object,2024-05-29T09:14:36.520+00:00
25,Start_Event,2024-05-29T09:14:36.520+00:00
25,revise_exchange,2024-05-29T09:14:36.520+00:00
25,data_object_revised,2024-05-29T09:14:36.520+00:00
25,Define_Data_Object,2025-07-02T11:43:46.580+00:00
25,Request_Data_Object,2025-07-02T11:43:46.580+00:00
25,Start_Event,2025-07-02T11:43:46.580+00:00
25,Define_pipeline_and_deployment_configuration,2026-05-22T11:35:43.407+00:00
25,send_deployment_configuration,2026-05-22T11:35:43.407+00:00
25,deployment_configuration_received,2026-05-22T11:35:43.407+00:00
25,declined,2026-05-22T11:35:43.407+00:00
25,decline,2026-05-22T11:35:43.407+00:00
25,decline_pipeline,2026-05-22T11:35:43.407+00:00
36,Start,2023-12-22T09:54:23.500+00:00
36,Define_Data_Object,2024-08-30T11:17:37.151+00:00
36,Request_Data_Object,2024-08-30T11:17:37.151+00:00
36,Start_Event,2024-08-30T11:17:37.151+00:00
36,decline_exchange,2024-08-30T11:17:37.151+00:00
36,data_object_declined,2024-08-30T11:17:37.151+00:00
36,decline_data_object,2024-08-30T11:17:37.151+00:00
47,Start,2023-12-22T10:11:10.700+00:00
47,Define_Data_Object,2024-11-05T11:36:39.981+00:00
47,Request_Data_Object,2024-11-05T11:36:39.981+00:00
47,Start_Event,2024-11-05T11:36:39.981+00:00
47,decline_exchange,2024-11-05T11:36:39.981+00:00
47,data_object_declined,2024-11-05T11:36:39.981+00:00
47,decline_data_object,2024-11-05T11:36:39.981+00:00
37,Start,2023-12-22T09:58:24.678+00:00
37,Define_Data_Object,2024-09-03T11:54:16.505+00:00
37,Request_Data_Object,2024-09-03T11:54:16.505+00:00
37,Start_Event,2024-09-03T11:54:16.505+00:00
37,Define_pipeline_and_deployment_configuration,2025-10-14T13:26:54.557+00:00
37,send_deployment_configuration,2025-10-14T13:26:54.557+00:00
37,deployment_configuration_received,2025-10-14T13:26:54.557+00:00
37,accepted,2025-10-14T13:26:54.557+00:00
37,accept,2025-10-14T13:26:54.557+00:00
37,execute_capabilities,2026-07-03T14:38:31.938+00:00
37,terminate_exchange,2026-07-03T14:38:31.938+00:00
15,Start,2023-12-22T09:25:19.865+00:00
15,Define_Data_Object,2024-03-27T11:57:15.847+00:00
15,Request_Data_Object,2024-03-27T11:57:15.847+00:00
15,Start_Event,2024-03-27T11:57:15.847+00:00
15,Define_pipeline_and_deployment_configuration,2025-03-24T10:03:48.859+00:00
15,send_deployment_configuration,2025-03-24T10:03:48.859+00:00
15,deployment_configuration_received,2025-03-24T10:03:48.859+00:00
15,accepted,2025-03-24T10:03:48.859+00:00
15,accept,2025-03-24T10:03:48.859+00:00
15,implement_capabilities,2026-03-05T14:52:40.606+00:00
15,execute_capabilities,2026-09-01T10:56:06.339+00:00
15,terminate_exchange,2026-09-01T10:56:06.339+00:00
26,Start,2023-12-22T09:38:53.760+00:00
26,Define_Data_Object,2024-06-07T14:20:27.736+00:00
26,Request_Data_Object,2024-06-07T14:20:27.736+00:00
26,Start_Event,2024-06-07T14:20:27.736+00:00
26,Define_pipeline_and_deployment_configuration,2025-07-09T14:36:15.944+00:00
26,send_deployment_configuration,2025-07-09T14:36:15.944+00:00
26,deployment_configuration_received,2025-07-09T14:36:15.944+00:00
26,accepted,2025-07-09T14:36:15.944+00:00
26,accept,2025-07-09T14:36:15.944+00:00
26,implement_capabilities,2026-06-02T12:15:02.025+00:00
26,execute_capabilities,2026-09-02T14:20:33.483+00:00
26,terminate_exchange,2026-09-02T14:20:33.483+00:00
38,Start,2023-12-22T09:58:50.502+00:00
38,Define_Data_Object,2024-09-11T14:16:54.344+00:00
38,Request_Data_Object,2024-09-11T14:16:54.344+00:00
38,Start_Event,2024-09-11T14:16:54.344+00:00
38,Define_pipeline_and_deployment_configuration,2025-10-23T11:45:26.819+00:00
38,send_deployment_configuration,2025-10-23T11:45:26.819+00:00
38,deployment_configuration_received,2025-10-23T11:45:26.819+00:00
38,accepted,2025-10-23T11:45:26.819+00:00
38,accept,2025-10-23T11:45:26.819+00:00
38,implement_capabilities,2026-07-15T10:44:52.189+00:00
38,execute_capabilities,2026-09-03T15:19:55.416+00:00
38,terminate_exchange,2026-09-03T15:19:55.416+00:00
16,Start,2023-12-22T09:29:00.296+00:00
16,Define_Data_Object,2024-04-08T12:24:33.370+00:00
16,Request_Data_Object,2024-04-08T12:24:33.370+00:00
16,Start_Event,2024-04-08T12:24:33.370+00:00
16,Define_pipeline_and_deployment_configuration,2025-04-10T15:16:03.000+00:00
16,send_deployment_configuration,2025-04-10T15:16:03.000+00:00
16,deployment_configuration_received,2025-04-10T15:16:03.000+00:00
16,revised,2025-04-10T15:16:03.000+00:00
